DESTINO;ORIGEN;CANTI;FOBDOL;FOBPES
USA;AXM;95,12;104644,7;422470536,4
PAN;AXM;12,22;12125,43;48952664,73
DEU;BOG;480;3000;12111570
DEU;BOG;90;634,5;2561597,05
DEU;BOG;60;228;920479,32
DEU;BOG;270;940,5;3796977,19
DEU;BOG;1204,2;6902,9;27612297,93
DEU;BOG;64;296;1195008,24
DEU;BOG;32;9256;36845081,52
DEU;BOG;9;5175;20599967,25
DEU;BOG;9;3267;13004848,89
DEU;BOG;16;4560;18151855,2
DEU;BOG;1380;1093,5;4347839,78
DEU;BOG;28995;15999,1;65473596,9
DEU;BOG;50;4930;20294788,7
DEU;BOG;245;54726;225284504,3
DEU;BOG;20;6256;25753387,04
DEU;BOG;20;3604;14836190,36
DEU;BOG;20;4216;17355543,44
DEU;BOG;20;3332;13716477,88
DEU;BOG;20;3332;13716477,88
DEU;BOG;100;7780;32027070,2
DEU;BOG;1088,1;157774,5;636965633,7
DEU;BOG;1;2526,46;10080297,48
DEU;BOG;27;60;247062,6
DEU;BOG;9;20;82354,2
DEU;BOG;1300;200;811388
DEU;BOG;38160;6102,4;24935734,32
DEU;BOG;62;99871,9;405667865,6
DEU;BOG;5600;1008;4098316,32
DEU;BOG;12480;2246,4;9133390,65
DEU;BOG;13;1484,47;5883800,75
DEU;BOG;2560;460,8;1870917,12
DEU;BOG;50;18500;74688015
DEU;BOG;44787;13917,65;56397252,2
DEU;BOG;1800;297;1181121,48
DEU;BOG;10080;1808;7210407,67
DEU;BOG;16,5;50,4;199763,92
DEU;BOG;37,5;104;412211,28
DEU;BOG;20;50;198178,5
DEU;BOG;82;320;1268342,4
DEU;BOG;24;88;348794,16
DEU;BOG;119,5;583;2310761,31
DEU;BOG;1198,4;5380,1;21324402,95
DEU;BOG;13;70;277449,9
DEU;BOG;7,5;28,5;112961,74
DEU;BOG;2;287,45;1183313,79
DEU;BOG;1;568,33;2339581,59
DEU;BOG;1;194,19;799400,61
DEU;BOG;986;88154,93;362897703,3
DEU;BOG;9;325,55;1340155,87
DEU;BOG;1;41,02;168862,52
DEU;BOG;2;6331,36;26063613,25
DEU;BOG;6;6873,84;28296780,97
DEU;BOG;1;372,12;1531009,59
DEU;BOG;5;8753,08;36012709,49
DEU;BOG;19660;6549,2;26330876,08
DEU;BOG;3;2238,31;9052867,16
DEU;BOG;2;746,98;2960707,51
DEU;BOG;4;450;1787798,5
DEU;BOG;1;1457;5997871,63
DEU;BOG;1;374,19;1540386,81
DEU;BOG;38;7456,53;30514581,41
DEU;BOG;1;50;200253
DEU;BOG;1;50;200253
DEU;BOG;21600;2942,9;11881046,45
DEU;BOG;58200;8775,65;35547304,17
DEU;BOG;560;4921,56;20140647,63
DEU;BOG;809,64;3487,36;13914182,79
DEU;BOG;3;10315,5;41005040,89
DEU;BOG;4;13933;56388383,63
DEU;BOG;5;18860,35;76329911,08
DEU;BOG;6000;1140;4648281,6
DEU;BOG;14400;2736;11155875,84
DEU;BOG;0,17;26,79;106492,66
DEU;BOG;1;82,83;329256,7
DEU;BOG;1;514,37;2044667,04
DEU;BOG;4,98;21,43;85186,17
DEU;BOG;16;95,43;379342,77
DEU;BOG;7,72;38,58;153358,96
DEU;BOG;3,12;22,71;90274,24
DEU;BOG;0,8;8,04;31959,7
DEU;BOG;1,6;1,72;6837,14
DEU;BOG;2;51,11;203166,84
DEU;BOG;2;72,87;289664,8
DEU;BOG;2;354,64;1409725,9
DEU;BOG;1;122,16;485596,99
DEU;BOG;1;73,51;292208,86
DEU;BOG;1;334,34;1329031,59
DEU;BOG;20;642,96;2555823,86
DEU;BOG;1;25,72;102239,31
DEU;BOG;29;5556,15;22086196,16
DEU;BOG;0,14;2,16;8586,19
DEU;BOG;2;9498,21;39078390,42
DEU;BOG;1;1823,61;7502860,38
DEU;BOG;5;14004,64;57619150,3
DEU;BOG;145;725;2941281,5
DEU;BOG;2;21967,8;87323982,1
DEU;BOG;101;6314,88;25102216,23
DEU;BOG;16;26254,8;106187801,1
DEU;BOG;24320;4716,8;19232468,99
DEU;BOG;3231;4972,05;19773047,31
DEU;BOG;58360;10576,8;43436053,51
DEU;BOG;1;5470,88;21652484,73
DEU;BOG;10530;1895,4;7693329,45
DEU;BOG;79320;14442,64;57579527,01
DEU;BOG;2050;369;1467453,96
DEU;BOG;11100;2780,6;11058001,3
DEU;BOG;2250;1202;4918980,66
DEU;BOG;1;924,12;3657454,41
DEU;BOG;510;770,1;3062564,48
DEU;BOG;978,12;5513,8;22482188,67
DEU;BOG;300;1918,3;7899003,09
DEU;BOG;3;28040,41;111463153,4
DEU;BOG;11;113981,51;453086760,6
DEU;BOG;1;44999,33;183219947,3
DEU;BOG;1;300;1213353
DEU;BOG;1056;6336;26068141,44
DEU;BOG;1836;9948,96;40708065,38
DEU;BOG;200;1200;4937148
DEU;BOG;1224;6357;26154541,53
DEU;BOG;12;47,1;191233,06
DEU;BOG;2139;12960;52717346,4
DEU;BOG;597;1622;6579112,39
DEU;BOG;16172;96474,92;392943487,6
DEU;BOG;6400;832;3332209,92
DEU;BOG;9;47,85;189656,82
DEU;BOG;48;291,2;1154191,58
DEU;BOG;12,5;39,5;156561,01
DEU;BOG;280;2114;8378986,98
DEU;BOG;118;868,28;3441488,55
DEU;BOG;25;129;511300,53
DEU;BOG;33,8;216,3;857320,19
DEU;BOG;262,5;1873;7423766,61
DEU;BOG;144,6;958,15;3797694,58
DEU;BOG;59;54076,75;219065628,3
DEU;BOG;400;114;460239,66
DEU;BOG;10440;1670,4;6743722,17
DEU;BOG;91440;13690,8;55141540,33
DEU;BOG;559;4740,33;19398994,66
DEU;BOG;2720;369,92;1497106,93
DEU;BOG;4420;605,54;2450686,98
DEU;BOG;5780;751,4;3009402,08
DEU;BOG;9520;1237,6;4956662,25
DEU;BOG;4760;1482,5;5901343,27
DEU;BOG;11970;1915,2;7591029,26
DEU;BOG;58440;9350,4;37060964,92
DEU;BOG;8160;2448;9767250,72
