FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES
2311,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,68,67,M3,95,84377,76706,104645,422470536
2311,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,68,67,M3,12,10845,9859,12125,48952665
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,480,584,480,3000,12111570
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,90,109,90,635,2561597
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,60,73,60,228,920479
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,270,328,270,941,3796977
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,1204,1520,1204,6903,27612298
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,64,78,64,296,1195008
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,11,U,32,37,37,9256,36845082
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,11,U,9,10,10,5175,20599967
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,11,U,9,10,10,3267,13004849
2311,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,11,U,16,18,18,4560,18151855
2311,3,23,DEU,3,BOG,5,7,827,1,198,1,8,2,5,11,U,1380,236,188,1094,4347840
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,28995,3782,3406,15999,65473597
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,50,38,33,4930,20294789
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,245,187,162,54726,225284504
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,15,13,6256,25753387
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,15,13,3604,14836190
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,15,13,4216,17355543
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,15,13,3332,13716478
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,15,13,3332,13716478
2311,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,100,76,66,7780,32027070
2311,3,23,DEU,3,BOG,8,3,23,1,198,1,8,2,8,33,KG,1088,1262,1088,157775,636965634
2311,3,23,DEU,3,BOG,8,3,23,1,104,2,8,2,11,11,U,1,40,40,2526,10080297
2311,3,23,DEU,3,BOG,11,0,580,1,104,2,8,2,8,33,KG,27,27,27,60,247063
2311,3,23,DEU,3,BOG,11,0,580,1,104,2,8,2,8,33,KG,9,9,9,20,82354
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,11,11,U,1300,52,48,200,811388
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,11,11,U,38160,1376,1263,6102,24935734
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,11,11,U,62,5274,3447,99872,405667866
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,2,11,11,U,5600,196,179,1008,4098316
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,2,11,11,U,12480,483,442,2246,9133391
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,6,2,11,11,U,13,140,119,1484,5883801
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,1,11,11,U,2560,99,96,461,1870917
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,1,11,11,U,50,310,206,18500,74688015
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,44787,1104,943,13918,56397252
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,1800,68,56,297,1181121
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,10080,382,319,1808,7210408
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,17,21,17,50,199764
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,38,47,38,104,412211
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,20,25,20,50,198179
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,82,103,82,320,1268342
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,24,30,24,88,348794
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,120,150,120,583,2310761
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,1198,1500,1198,5380,21324403
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,13,16,13,70,277450
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,33,KG,8,9,8,29,112962
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,2,1,1,287,1183314
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,1,8,6,568,2339582
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,1,8,6,194,799401
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,986,253,236,88155,362897703
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,9,1,1,326,1340156
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,1,0,0,41,168863
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,2,16,11,6331,26063613
2311,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,11,11,U,6,47,34,6874,28296781
2311,3,23,DEU,3,BOG,11,3,23,1,199,1,6,1,8,11,U,1,81,56,372,1531010
2311,3,23,DEU,3,BOG,11,3,23,1,199,1,6,1,11,11,U,5,390,270,8753,36012709
2311,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,11,11,U,19660,615,492,6549,26330876
2311,3,23,DEU,3,BOG,11,3,23,1,104,2,6,1,11,11,U,3,370,284,2238,9052867
2311,3,23,DEU,3,BOG,11,3,23,1,104,2,6,2,11,11,U,2,139,108,747,2960708
2311,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,11,11,U,4,96,70,450,1787799
2311,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,5,11,U,1,319,319,1457,5997872
2311,3,23,DEU,3,BOG,11,3,23,1,198,2,6,1,11,11,U,1,89,55,374,1540387
