FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES
2310,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,68,67,M3,110,115667,88975,108083,457256555
2310,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,68,67,M3,22,22674,17442,18547,78465124
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,6,2,5,33,KG,576,654,576,4476,18142684
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,84,101,84,525,2221070
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,30,36,30,114,482290
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,90,108,90,314,1326296
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,5,6,5,31,129880
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,144,173,144,768,3249108
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,8,10,8,37,156533
2310,3,23,DEU,3,BOG,5,3,23,1,198,1,8,2,5,33,KG,32,44,32,33556,142239359
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,16,14,3280,13876401
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,50,40,34,7741,32750844
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,18,14,12,6624,28023561
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,25,20,17,6200,26229781
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,30,24,21,4920,20814601
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,35,28,24,6860,29021985
2310,3,23,DEU,3,BOG,5,9,169,1,198,1,8,2,5,11,U,20,16,14,2560,10830362
